tau,bridge,time,pairs
0.0,beaver_rat,3.9187E-5,0
0.0,big_board,3.5921000000000004E-5,0
0.0,exercise_physiology,0.794250809,1
0.0,flower_person,7.1376E-5,0
0.0,hiram_ohio,0.38608658100000004,0
0.0,horror_fiction,2.4259000000000006E-5,0
0.0,motorcycle_drag_race,0.029167216000000003,1
0.0,redwatch,1.2176E-4,0
0.0,vascularity,4.2359200000000003E-4,0
0.0,venography,3.3868700000000006E-4,0
0.01,beaver_rat,3.872000000000001E-5,0
0.01,big_board,8.980072972,0
0.01,exercise_physiology,0.8350425530000001,1
0.01,flower_person,7.5108E-5,0
0.01,hiram_ohio,0.371358821,0
0.01,horror_fiction,9.7869723,117
0.01,motorcycle_drag_race,0.028538826,1
0.01,redwatch,1.0589800000000001E-4,0
0.01,vascularity,4.5951400000000006E-4,0
0.01,venography,3.01366E-4,0
0.1,exercise_physiology,712.808033883,626
0.1,flower_person,2304.942309818,1422
0.1,hiram_ohio,0.378024334,0
0.1,horror_fiction,2022.894520404,3864
0.1,motorcycle_drag_race,755.9823808020001,589
0.1,redwatch,228.786656472,398
0.1,venography,0.164633221,1
0.25,exercise_physiology,708.92570435,626
0.25,flower_person,2313.643554611,1422
0.25,horror_fiction,1820.4702223530003,3864
0.25,motorcycle_drag_race,682.0373101700001,589
0.25,redwatch,227.95292388299998,398
0.25,venography,833.2299336020001,1174
