tau,bridge,time,pairs
0.0,beaver_rat,0.0014555160000000002,0
0.0,big_board,3.56415E-4,0
0.0,exercise_physiology,1.615160869,1
0.0,flower_person,1.3902E-4,0
0.0,hiram_ohio,0.5155737790000001,0
0.0,horror_fiction,6.9976E-5,0
0.0,motorcycle_drag_race,0.043411672,1
0.0,redwatch,1.95467E-4,0
0.0,vascularity,6.85305E-4,0
0.0,venography,5.24825E-4,0
0.01,beaver_rat,8.817E-5,0
0.01,big_board,13.043956556000001,0
0.01,exercise_physiology,1.222048161,1
0.01,flower_person,1.1756100000000002E-4,0
0.01,hiram_ohio,0.44349872300000004,0
0.01,horror_fiction,14.064216674,117
0.01,motorcycle_drag_race,0.043594544,1
0.01,redwatch,3.2235900000000004E-4,0
0.01,vascularity,7.09564E-4,0
0.01,venography,4.907690000000001E-4,0
0.1,exercise_physiology,728.618092892,626
0.1,flower_person,2367.7446839880004,1422
0.1,hiram_ohio,0.374752224,0
0.1,horror_fiction,1812.5552155720002,3864
0.1,motorcycle_drag_race,683.656547882,589
0.1,redwatch,229.93773800900001,398
0.1,venography,0.172493469,1
0.25,exercise_physiology,709.509910798,626
0.25,flower_person,2325.4726594080003,1422
0.25,horror_fiction,1815.0729231740002,3864
0.25,motorcycle_drag_race,681.6846920400001,589
0.25,redwatch,228.19500823700002,398
0.25,venography,824.245876624,1174
