tau,bridge,time,pairs
0.0,beaver_rat,4.9916E-5,0
0.0,big_board,4.6185000000000006E-5,0
0.0,exercise_physiology,0.8011318500000001,1
0.0,flower_person,8.490400000000001E-5,0
0.0,hiram_ohio,0.376551558,0
0.0,horror_fiction,3.8721E-5,0
0.0,motorcycle_drag_race,0.029214335,1
0.0,redwatch,1.1756100000000001E-4,0
0.0,vascularity,4.97768E-4,0
0.0,venography,3.7927300000000007E-4,0
0.01,beaver_rat,4.6185000000000006E-5,0
0.01,big_board,7.359553287000001,0
0.01,exercise_physiology,0.908045966,1
0.01,flower_person,9.610100000000001E-5,0
0.01,hiram_ohio,0.373332631,0
0.01,horror_fiction,9.869848958,117
0.01,motorcycle_drag_race,0.04238488,1
0.01,redwatch,1.1662800000000001E-4,0
0.01,vascularity,4.52515E-4,0
0.01,venography,3.7227600000000005E-4,0
0.1,exercise_physiology,701.550709074,626
0.1,flower_person,2332.8588845450004,1422
0.1,hiram_ohio,0.39191097500000005,0
0.1,horror_fiction,1799.3827552250002,3864
0.1,motorcycle_drag_race,697.6769610150001,589
0.1,redwatch,228.719747094,398
0.1,venography,0.16392832300000001,1
0.25,exercise_physiology,710.080653731,626
0.25,flower_person,2344.5155728460004,1422
0.25,horror_fiction,1825.458876334,3864
0.25,motorcycle_drag_race,678.380620936,589
0.25,redwatch,228.824680871,398
0.25,venography,850.1357501100001,1174
