tau,bridge,time,pairs
0.0,beaver_rat,3.8721000000000004E-5,0
0.0,big_board,3.4988000000000005E-5,0
0.0,exercise_physiology,0.7900186180000001,1
0.0,flower_person,7.464200000000001E-5,0
0.0,hiram_ohio,0.373450192,0
0.0,horror_fiction,2.4724000000000002E-5,0
0.0,motorcycle_drag_race,0.028600406000000002,1
0.0,redwatch,1.0543100000000001E-4,0
0.0,vascularity,4.2452500000000003E-4,0
0.0,venography,3.17227E-4,0
0.01,beaver_rat,3.7321000000000004E-5,0
0.01,big_board,7.285314086000001,0
0.01,exercise_physiology,0.795468402,1
0.01,flower_person,7.5108E-5,0
0.01,hiram_ohio,0.375322301,0
0.01,horror_fiction,9.744617743000001,117
0.01,motorcycle_drag_race,0.028652654,1
0.01,redwatch,1.0729700000000001E-4,0
0.01,vascularity,4.14262E-4,0
0.01,venography,3.21893E-4,0
0.1,exercise_physiology,701.3867793510001,626
0.1,flower_person,2335.667336888,1422
0.1,hiram_ohio,0.37246305300000004,0
0.1,horror_fiction,1814.1179667010001,3864
0.1,motorcycle_drag_race,677.415323309,589
0.1,redwatch,228.344998137,398
0.1,venography,0.165171109,1
0.25,exercise_physiology,708.001823592,626
0.25,flower_person,2334.668155148,1422
0.25,horror_fiction,1827.4392282780002,3864
0.25,motorcycle_drag_race,678.993733354,589
0.25,redwatch,228.41785693100002,398
0.25,venography,827.2882260490001,1174
