tau,bridge,time,pairs
0.0,beaver_rat,3.8254E-5,0
0.0,big_board,3.5454E-5,0
0.0,exercise_physiology,0.795003291,1
0.0,flower_person,7.1375E-5,0
0.0,hiram_ohio,0.396317174,0
0.0,horror_fiction,2.5192000000000002E-5,0
0.0,motorcycle_drag_race,0.028773481000000004,1
0.0,redwatch,1.06365E-4,0
0.0,vascularity,4.3105700000000004E-4,0
0.0,venography,3.998E-4,0
0.01,beaver_rat,3.5454E-5,0
0.01,big_board,7.463573169,0
0.01,exercise_physiology,0.7854122860000001,1
0.01,flower_person,7.650900000000001E-5,0
0.01,hiram_ohio,0.393383285,0
0.01,horror_fiction,9.817693932000001,117
0.01,motorcycle_drag_race,0.028745024,1
0.01,redwatch,1.1056299999999999E-4,0
0.01,vascularity,4.2032700000000007E-4,0
0.01,venography,3.15362E-4,0
0.1,exercise_physiology,714.019653185,626
0.1,flower_person,2308.1055780280003,1422
0.1,hiram_ohio,0.395496581,0
0.1,horror_fiction,1814.04614916,3864
0.1,motorcycle_drag_race,684.785697325,589
0.1,redwatch,226.438015349,398
0.1,venography,0.16455298200000001,1
0.25,exercise_physiology,708.752669728,626
0.25,flower_person,2351.1878748120002,1422
0.25,horror_fiction,1834.658563677,3864
0.25,motorcycle_drag_race,697.9403243470001,589
0.25,redwatch,230.17880443400003,398
0.25,venography,824.1657906370001,1174
