tau,bridge,time,pairs
0.0,beaver_rat,4.012E-5,0
0.0,big_board,3.4522E-5,0
0.0,exercise_physiology,0.7900190850000001,1
0.0,flower_person,7.0443E-5,0
0.0,hiram_ohio,0.37390877200000006,0
0.0,horror_fiction,2.4726000000000003E-5,0
0.0,motorcycle_drag_race,0.028529496,1
0.0,redwatch,1.11496E-4,0
0.0,vascularity,4.32456E-4,0
0.0,venography,3.08364E-4,0
0.01,beaver_rat,3.6855E-5,0
0.01,big_board,7.305057309,0
0.01,exercise_physiology,0.8404419540000001,1
0.01,flower_person,7.091E-5,0
0.01,hiram_ohio,0.372233062,0
0.01,horror_fiction,9.845672478000001,117
0.01,motorcycle_drag_race,0.028297173000000002,1
0.01,redwatch,1.07298E-4,0
0.01,vascularity,4.31056E-4,0
0.01,venography,3.15829E-4,0
0.1,exercise_physiology,701.0962543340002,626
0.1,flower_person,2323.392510908,1422
0.1,hiram_ohio,0.381061322,0
0.1,horror_fiction,1794.516575378,3864
0.1,motorcycle_drag_race,687.04103293,589
0.1,redwatch,227.62934094500002,398
0.1,venography,0.18758371000000001,1
0.25,exercise_physiology,708.822783571,626
0.25,flower_person,2318.4425852930003,1422
0.25,horror_fiction,1812.229216107,3864
0.25,motorcycle_drag_race,678.955166403,589
0.25,redwatch,227.88929128200002,398
0.25,venography,857.657942285,1174
