tau,bridge,time,pairs
0.0,beaver_rat,3.5922E-5,0
0.0,big_board,3.6854E-5,0
0.0,exercise_physiology,0.7906185510000001,1
0.0,flower_person,1.03566E-4,0
0.0,hiram_ohio,0.37390224000000005,0
0.0,horror_fiction,2.5658E-5,0
0.0,motorcycle_drag_race,0.028291575000000003,1
0.0,redwatch,1.0963000000000002E-4,0
0.0,vascularity,4.3339E-4,0
0.0,venography,3.0509900000000003E-4,0
0.01,beaver_rat,3.7321000000000004E-5,0
0.01,big_board,7.911601714000001,0
0.01,exercise_physiology,0.800737647,1
0.01,flower_person,7.2776E-5,0
0.01,hiram_ohio,0.386483116,0
0.01,horror_fiction,9.809215557,117
0.01,motorcycle_drag_race,0.028221132000000003,1
0.01,redwatch,1.1336200000000002E-4,0
0.01,vascularity,4.36188E-4,0
0.01,venography,3.14428E-4,0
0.1,exercise_physiology,701.6874603169999,626
0.1,flower_person,2316.109233145,1422
0.1,hiram_ohio,0.371036928,0
0.1,horror_fiction,1840.007851851,3864
0.1,motorcycle_drag_race,686.024197939,589
0.1,redwatch,227.82962542500002,398
0.1,venography,0.165319926,1
0.25,exercise_physiology,709.691868383,626
0.25,flower_person,2336.26311748,1422
0.25,horror_fiction,1821.987177939,3864
0.25,motorcycle_drag_race,681.399713375,589
0.25,redwatch,229.206047293,398
0.25,venography,847.006083774,1174
