tau,bridge,time,pairs
0.0,beaver_rat,3.9654000000000004E-5,0
0.0,big_board,3.6855000000000005E-5,0
0.0,exercise_physiology,0.7909968920000001,1
0.0,flower_person,7.231E-5,0
0.0,hiram_ohio,0.373938628,0
0.0,horror_fiction,2.6125E-5,0
0.0,motorcycle_drag_race,0.030222465,1
0.0,redwatch,1.1989300000000001E-4,0
0.0,vascularity,4.2172700000000005E-4,0
0.0,venography,3.41486E-4,0
0.01,beaver_rat,3.7321000000000004E-5,0
0.01,big_board,8.184578444,0
0.01,exercise_physiology,0.7998256180000001,1
0.01,flower_person,8.1173E-5,0
0.01,hiram_ohio,0.38011057300000006,0
0.01,horror_fiction,9.546921469,117
0.01,motorcycle_drag_race,0.029392075,1
0.01,redwatch,1.1476200000000001E-4,0
0.01,vascularity,4.5391500000000005E-4,0
0.01,venography,3.0183200000000003E-4,0
0.1,exercise_physiology,701.254857899,626
0.1,flower_person,2320.9430100520003,1422
0.1,hiram_ohio,0.372227466,0
0.1,horror_fiction,1809.013101036,3864
0.1,motorcycle_drag_race,678.7440625950001,589
0.1,redwatch,229.336033656,398
0.1,venography,0.164305264,1
0.25,exercise_physiology,709.318069241,626
0.25,flower_person,2315.401550031,1422
0.25,horror_fiction,1816.7537781590001,3864
0.25,motorcycle_drag_race,673.9240529000001,589
0.25,redwatch,229.56947355700004,398
0.25,venography,838.439174163,1174
