tau,bridge,time,pairs
0.0,beaver_rat,5.318200000000001E-5,0
0.0,big_board,5.085E-5,0
0.0,exercise_physiology,0.79303368,1
0.0,flower_person,9.330300000000001E-5,0
0.0,hiram_ohio,0.374734962,0
0.0,horror_fiction,4.1519E-5,0
0.0,motorcycle_drag_race,0.028557954000000003,1
0.0,redwatch,1.22692E-4,0
0.0,vascularity,4.36189E-4,0
0.0,venography,3.53615E-4,0
0.01,beaver_rat,4.991600000000001E-5,0
0.01,big_board,7.002774342,0
0.01,exercise_physiology,0.7944434770000001,1
0.01,flower_person,9.3769E-5,0
0.01,hiram_ohio,0.371223999,0
0.01,horror_fiction,11.070362493000001,117
0.01,motorcycle_drag_race,0.028489376000000004,1
0.01,redwatch,1.31556E-4,0
0.01,vascularity,4.2545800000000003E-4,0
0.01,venography,3.7087700000000003E-4,0
0.1,exercise_physiology,728.1332556750001,626
0.1,flower_person,2318.603442107,1422
0.1,hiram_ohio,0.379107573,0
0.1,horror_fiction,1818.9254790260002,3864
0.1,motorcycle_drag_race,683.3692492570001,589
0.1,redwatch,228.609909818,398
0.1,venography,0.16588160600000001,1
0.25,exercise_physiology,717.465581966,626
0.25,flower_person,2356.1334287510003,1422
0.25,horror_fiction,1836.686366815,3864
0.25,motorcycle_drag_race,685.432060799,589
0.25,redwatch,228.537880481,398
0.25,venography,825.095601684,1174
